Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Excel Data Visualization: Mastering 20+ Charts and Graphs,"When you think data visualization, you might not think Microsoft Excel. But Excel offers a large number of charts and graphing tools that complement its data analysis toolset. This course offers a laser-focused, practical guide to over 20 useful Excel charts and graphs for data visualization. Instructor Chris Dutton reviews the key principles of data visualization, and provides some introductory tips to help you customize any kind of chart in Excel. In this section, you can learn how to adjust text and cell formatting, change the chart type and axes, and leverage built-in templates. In chapter three, Chris reviews the different chart types: from basic bar and pie charts, to scatter plots, histograms, funnel charts, and sparklines. Plus, learn how to create geospatial heat maps and 3D power maps, and combine different chart types on one sheet.",Course,2019-08-12 09:06 UTC,N/A,false,N/A,
Excel: Statistical Process Control,"Learn how to analyze the accuracy and alignment of manufacturing processes using statistical tools. Veteran Excel trainer Curt Frye covers the three types of charts-P charts, C charts, and X-bar R charts-that are used to summarize the most common process metrics: proportion of defective output, number of defects, and variability of process outputs. He shows how to perform the analysis, plot the data, and interpret the results of each technique. He also how to examine processes from the customer's perspective using process capability analysis. Business analysts and support staff who help prepare documents, as well as executives and senior managers who might not have a statistical background, will use the skills in this course to analyze their organizations' processes and output.",Course,2019-07-15 21:08 UTC,N/A,false,N/A,
Presenting Technical Information with Stories,"<p>Technical information can be dry and hard to understand. But that doesn’t mean your presentation has to be. Storytelling can transform technical talks into dynamic and energizing presentations. In this course, you can learn the top reasons why audiences tune out and discover techniques to make your complex material more memorable and engaging. Instructors Poornima Vijayashanker and Karen Catlin share how to improve your public speaking skills and use storytelling to increase engagement and retention. They show how to identify a story to use, build credibility with your story, and test it to make sure it will engage your audience. The course is filled with real-world examples that show how these lessons impact actual audiences. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/public-speaking-skills-professional-certificate-by-toastmasters-international"" target=""_blank"">Professional Certificate</a> from Toastmasters International.</p>",Course,2022-02-11 16:56 UTC,N/A,false,N/A,
ISTQB Foundation Cert Prep,"Are you looking to move into the dynamic and exciting world of software testing? An International Software Testing Qualifications Board (ISTQB) certification can be one steppingstone on your journey. The ISTQB exams can be difficult to traverse without a solid understanding of the course material and the expectations of the exam board. In this course, instructor Michael Smith covers all these things. Michael explains key terminology that you will need to know for the ISTQB exams. After describing the principles, process, and psychology of testing, Michael goes into how software testing fits into the overall software development lifecycle (SDLC). He discusses static testing, a variety of test techniques, and helpful information on organizing, planning, monitoring, and managing your tests. Michael finishes up by showing you some test tool considerations and tips, as well as additional help in getting ready for the ISTQB Foundation exam.",Course,2023-06-14 06:20 UTC,N/A,false,N/A,
Statistics Foundations 2: Probability,"<p>Not sure if you need statistics? Think again! Statistics help with making decisions, new discoveries, investments, and predictions. For subjects ranging from political races to healthcare advancements, statistics can improve your understanding of your favorite topic. In this course, Professor Eddie Davila teaches common terms, formulas, and techniques related to probability, the area of statistics where this course focuses.
</p><p>
Eddie explains that probability is used to make decisions about future outcomes and to understand past outcomes. He covers permutations, combinations, and percentiles, and goes into how to describe and calculate them. Eddie introduces multiple event probabilities and discusses when to add and subtract probabilities. He describes probability trees, Bayes’ Theorem, binomials, and so much more. You can learn to understand your data, prove theories, and save valuable resources—all by understanding the numbers. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/statistics-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2024-04-09 05:41 UTC,2024-04-07 15:41 UTC,true,N/A,
Improving Your Listening Skills (2018),"Just as public speaking is a skill that you can hone through practice, good listeners aren't in possession of a special, unattainable gift—careful listening is a skill that you can learn. In this course, join career expert Dorie Clark as she helps uncover why it's hard to listen well, and how to develop the mindset of a good listener. She also provides multiple listening strategies to help you manage when you're the one not being listened to, how to keep yourself from interrupting, and how to listen to what's not being said. In addition, she explains how to let others know that they've been heard, and how to listen when someone is annoying.",Course,2020-05-19 06:56 UTC,N/A,false,N/A,
How to Design and Deliver Training Programs,"An effective training program helps to accelerate an employee's professional development and prepares them to excel in their role. In this course, corporate training expert Jeff Toister explains how to design and deliver training programs that engage learners and help them quickly develop new skills. Jeff walks through the ADDIE model of instructional design as it applies to corporate learning, exploring each step—from conducting needs analysis all the way through delivering face-to-face training. He also provides tips for presenting with confidence and clarity, facilitating discussions, adapting your programs to webinar delivery, and more.",Course,N/A,N/A,true,N/A,
Building a Single-Page Application with AngularJS and WordPress,"Single-page applications are fluid, responsive, and beautiful. They look and perform great—like native mobile apps—without constant calls to the server. With WordPress and a client-side framework like AngularJS, you can create a simple single-page app quickly.<br><br>

In this course, Roy Sivan shows how to build a single-page web app with WordPress, AngularJS, and the WordPress REST API plugin. Roy also reviews creating controllers and routes to get a basic understanding of building a multiview single-page app. Plus, get some tips to transition your single-page app to a native mobile app with AppPresser.",Course,2018-10-26 07:38 UTC,N/A,false,N/A,
XML Essential Training (2018),"Extensible Markup Language (XML) was designed to make information sharing and data interpretation easier. Having a solid grasp of what XML is and how to work with it is essential for any developer. In this course, Joe Marini takes you through the basic rules of XML, explains its syntax, and covers more advanced topics such as styling your XML with CSS and manipulating XML content using XPath and XSLT.  From integrating XML into your site to using document type definitions and XML schema, this course covers what you need to know to not only get started with XML, but also master it.",Course,2018-08-26 21:47 UTC,N/A,false,N/A,
Learning Data Analytics Part 2: Extending and Applying Core Knowledge,"<p>It’s one thing to work with data. It’s another to provide quality data sets and accurate visualizations for decisions to be made. If you are considering a course emphasis or a career in data analytics, this course can help you get off to a good start. Robin Hunt, CEO and co-founder of ThinkData Solutions, shares practical skills to help you get the most from your data and jumpstart your career in data. Robin discusses business rules, filtering out the noise in the data we all deal with, and how to deliver what decision-makers want. She covers how to create data sets with queries, joins, and appends, then goes into building aggregate data with total queries. Robin goes over pivots, how to use pivots to build basic dashboards and visualizations, and how to use Power Query for data transformations. She concludes with best practices for meetings and taking your work to the next level for your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,N/A,N/A,true,N/A,
"Advanced Playwright Techniques: Optimizing Speed, Stability, and Cloud Testing","This course dives deep into advanced Playwright testing strategies, and is designed to help experienced testers and developers optimize their test suites for speed, stability, and scalability. Learn how to streamline your tests, diagnose and fix bottlenecks, and apply resilient practices that make your testing robust against flakiness. Additionally, explore the power of visual testing using screenshots and snapshots, ensuring UI consistency with minimal resource usage. Finally, instructor Qambar Raza guides you through configuring and running tests on Microsoft Playwright Testing service, enabling you to scale tests effortlessly in the cloud. By the end, you’ll have a high-performing Playwright testing suite ready for modern application needs.",Course,2025-09-10 13:52 UTC,N/A,false,N/A,
